CDP,Region,Subregion,Technology,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52
CDP3,QLD,CQ,Other renewable fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,DSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,SQ,Black coal,3446,3446,3446,3446,3446,3446,3446,2746,2746,2396,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,SQ,Mid-merit gas,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,1173.89999999,788.89999999,788.89999999,788.89999999,644.5,644.5,644.5,644.5,644.5,644.5,0,0,0,0,0,0,0
CDP3,QLD,SQ,Flexible gas with CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,SQ,Flexible gas,1509,1509,1509,1709,1709,1709,1709,1709,1709,1709,1709,1934.29038214,2688.9999685499997,2688.9999685499997,2688.9999685499997,2688.9999685499997,2953.9999685499997,3571.85944368,3571.85944368,4632.92453599,4890.6000263000005,4890.6000263000005,4890.6000263000005,4326.6000263000005,4326.6000263000005,4326.6000263000005,3807.6000263,3461.6000263,3461.6000263
CDP3,QLD,SQ,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,SQ,Utility storage,709.6,1423.76,1729.76,1729.76,1729.7600165000001,1729.76002762,1733.89750865,1733.89750865,3731.89750865,3731.89750865,3731.89750865,3731.89750988,3731.89750988,3731.89750988,3731.89750988,3631.89750988,3631.89750988,3631.89750988,3631.89750988,3631.89750988,3631.89750988,3331.89751438,3081.8975156300003,3081.8975156300003,3081.89749913,2827.09749424,2824.18901553,2824.18901553,2724.18902677
CDP3,QLD,SQ,Coordinated CER storage,27.0649613984592,61.3886383,132.6832318,210.2867277,313.7229859,440.0288434,661.6765594,865.8098173,1076.54707294,1308.89725133,1563.8911295999999,1835.9347253,2145.7489508999997,2421.744656,2723.2184579,3054.2797043,3364.6118701,3687.5583823999996,4017.1889286,4358.7744679,4710.426821,5079.906008,5468.77759,5846.632465,6237.577042,6641.955345,7025.787978,7188.074012,7347.6619470000005
CDP3,QLD,SQ,Passive CER storage,89.40878981,128.4401066,201.8344946,260.6501205,320.725302,374.5923531,450.3969092,538.2607444,618.9397832,697.1348116,773.4375216,845.8648442,921.7722774,976.2396628,1029.966526,1081.812414,1120.013147,1149.743869,1174.354305,1192.327749,1205.03204,1216.527111,1228.363422,1230.755069,1232.701399,1227.336387,1215.505688,1258.646192,1299.474113
CDP3,QLD,SQ,Offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,SQ,Wind,864.9499999999999,1788.35,1788.35,3188.35000998,3206.36994037,3206.36994037,5077.64187116,5077.64187275,5126.516889799999,5749.248113719999,5749.248113719999,8016.897416469999,8385.00933021,8385.00933021,8385.00933021,8385.00933021,8385.00933021,8385.00933021,8385.00933021,8385.00933021,8385.00933021,7945.0393546,7945.0393593,7945.0393593,7945.0393593,8048.38000012,8048.38000012,8048.38000012,8048.38000012
CDP3,QLD,SQ,Utility solar,1791.51,1791.51,1850.95,1951.79000493,1951.2500061599999,1950.69000616,1950.14000743,1949.57009252,3174.17485898,3870.3804948099996,4831.259538770001,4831.25954964,5925.914169550001,7489.254383450001,7489.254383450001,7489.254383450001,7489.254386900001,8266.94128832,8266.94128832,9845.781810399998,10347.10730394,10244.14730394,10437.99000056,9843.980000560001,9843.980000560001,9816.680000190001,9630.810013810002,9630.8100811,9510.9300811
CDP3,QLD,SQ,Distributed PV,4762.983855432084,5170.429781,5575.312214,5989.696294,6493.545946,7021.127494,7578.539825,8086.691378,8571.255627,9067.548634,9542.286067,10029.33887,10501.80997,10947.98286,11378.73531,11814.36386,12239.32133,12643.17146,13060.46528,13466.9833,13916.20781,14406.41982,14927.99967,15436.61471,15957.07477,16474.87391,17004.7827,17518.74928,18057.40414
CDP3,QLD,SQ,Other renewable fuels,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
CDP3,QLD,SQ,DSP,261.52,275.21,288.16,302.99,316.15,331.79,348.94,365.88,382.13,398.69,415.64,431.69,451.39,471.41,491.74,508.67,525.66,544.97,563.54,581.36,597.97,611.54,626.69,643.93,660.01,675.53,689.96,697.15,709.98
CDP3,VIC,VIC,Brown coal,4820,4820,4820,4820,4240,2790,2790,2790,2210,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,VIC,VIC,Mid-merit gas,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,VIC,VIC,Flexible gas with CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,VIC,VIC,Flexible gas,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1730,1730,1730,1993.93951372,3054.99993696,3054.99993696,2614.99993696,2614.99993696,2614.99993696,2520.99993696,3112.10386421,3112.10386421,3112.10386421,3112.10386421,2528.10386421,2688.30560741,2688.30560741,2688.30560741,3746.98716077
