date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T17:00:00Z,-143.94,0,0,483.8,5089.9,57.3,126.9,960.79,324.75,47.19,0.76,64.84,184.06,546.4,849.09,25.9,0,20.78,379.16,0.12,11.1,36.04,16.76,2.4,734.01,124.57
2024-12-11T17:05:00Z,-4.5,0,0,315,5086.05,54.8,159.87,961.87,322.02,49.03,0,64.8,184.23,543.97,798.85,25.87,0,13.78,378.83,0.12,13.99,36.07,16.61,2.5,701.09,144.61
2024-12-11T17:10:00Z,-52.68,0,0,392.9,4979.9,55.3,156.87,946.63,333.93,50.08,0,64.02,180.83,622.51,748.62,25.83,0,17.15,370.52,0.12,13.72,35.55,17.22,2.55,712.6,99.75
2024-12-11T17:15:00Z,-37.7,0,0,294.9,4880.87,56.2,159.87,944.34,321.93,50.81,0,227.1,186.09,676.65,698.38,25.8,0,13.16,362.64,0.12,13.99,35.49,16.63,2.59,677.97,124.73
2024-12-11T17:20:00Z,-3.77,0,0,164,4948.97,56.2,157.88,935.27,320.14,51.44,0,226.13,191.44,692.3,648.14,25.77,0,7.44,368.11,0.12,13.81,35.17,16.55,2.62,660.75,110.83
2024-12-11T17:25:00Z,-0.49,0,0,152,4947.36,55.8,160.88,963.62,326.18,51.42,17.97,231.24,209.57,685.59,597.91,25.73,0,6.98,367.6,0.12,14.07,36.13,16.84,2.62,658.73,122.95
2024-12-11T17:30:00Z,-1.96,0,0,146.5,4995.94,57.8,158.88,946.18,321.54,52.75,9.8,228.16,220.97,710.31,547.67,25.7,0,6.75,371.65,0.13,13.9,35.56,16.61,2.69,662.52,143.99
2024-12-11T17:35:00Z,-0.61,0,0,125.1,5027.29,56.3,157.88,954.27,321.77,52,1.94,227.73,244.17,707.3,503.31,25.63,0,5.89,373.93,0.12,13.81,35.87,16.61,2.65,662.71,144.61
2024-12-11T17:40:00Z,-1.42,0,0,107.8,5018.01,58.2,157.88,968.48,334,51.49,9.77,288.65,247.66,645.69,458.96,25.57,0,5.14,373.23,0.13,13.81,36.33,17.22,2.63,662.01,110.83
2024-12-11T17:45:00Z,-0.49,0,0,235.4,5045.81,57.2,160.88,975.7,324.71,49.74,6.91,260.69,248.81,576.45,414.6,25.5,0,11.36,375.25,0.13,14.07,36.59,16.76,2.55,695.01,225.75
